wavelength,flux
1140.0206298828125,3.6033999135237638e-12
1140.604736,3.472000031229383e-12
1141.188843,3.3872999891104705e-12
1141.772949,3.4418000133956683e-12
1142.357056,3.4559000626488423e-12
1142.941162,3.4157000144974248e-12
1143.525269,3.4478999516585063e-12
1144.109375,3.4292000662683453e-12
1144.693481,3.4208001015167966e-12
1145.277588,3.406999942584532e-12
1145.861694,3.406000091341066e-12
1146.445801,3.4432998986810848e-12
1147.029907,3.431199985595712e-12
1147.614014,3.4293999931489516e-12
1148.19812,3.4322000536796127e-12
1148.782227,3.429100102828042e-12
1149.366333,3.4395999503472607e-12
1149.950439,3.4438998961633382e-12
1150.534546,3.4181000044264387e-12
1151.118652,3.4068000157039258e-12
1151.702759,3.3824000458121395e-12
1152.286865,3.3825000092524427e-12
1152.870972,3.3987999047135897e-12
1153.455078,3.400399970279744e-12
1154.039185,3.4046999160958213e-12
1154.623291,3.408600008150686e-12
1155.207397,3.391800078647589e-12
1155.791504,3.3872000256701673e-12
1156.37561,3.3581000393606564e-12
1156.959717,3.350300072091361e-12
1157.543701,3.355000088509086e-12
1158.127808,3.3433000291849257e-12
1158.711914,3.326899953443041e-12
1159.296021,3.3439999901074824e-12
1159.880127,3.3597001049268105e-12
1160.464233,3.357299898157362e-12
1161.04834,3.336899983760744e-12
1161.632446,3.328500019009195e-12
1162.216553,3.30899999241574e-12
1162.800537,3.2881000439771713e-12
1163.384644,3.3018999860690013e-12
1163.96875,3.306699965927029e-12
1164.552856,3.3056998978431285e-12
1165.136963,3.2995999595802905e-12
1165.721069,3.2805999670287855e-12
1166.305176,3.2768000552546583e-12
1166.88916,3.2571001017805967e-12
1167.473267,3.247200034903197e-12
1168.057373,3.23429998061453e-12
1168.641479,3.235499975579037e-12
1169.225586,3.240600062598409e-12
1169.809692,3.2409999163596215e-12
1170.393677,3.2356999024596433e-12
1170.977783,3.2284999326726016e-12
1171.56189,3.2388000701516484e-12
1172.145996,3.224100023416221e-12
1172.730103,3.2123000006517577e-12
1173.314087,3.190599911009895e-12
1173.898193,3.1979000610776742e-12
1174.4823,3.190599911009895e-12
1175.066406,3.176899932358368e-12
1175.650391,3.168300040726213e-12
1176.234497,3.175799900834164e-12
1176.818604,3.1664000848391494e-12
1177.40271,3.1524999624665817e-12
1177.986694,3.138799983815055e-12
1178.570801,3.1458000267214903e-12
1179.154907,3.125999892966691e-12
1179.739014,3.1172000744539297e-12
1180.322998,3.1041000932846563e-12
1180.907104,3.1094001071846344e-12
1181.491211,3.1083000756604307e-12
1182.075195,3.102500027718502e-12
1182.659302,3.0986998991039405e-12
1183.243408,3.0970000869379177e-12
1183.827515,3.0743998926524574e-12
1184.411499,3.0508000639639654e-12
1184.995605,3.0307000398882566e-12
1185.579712,3.03339992013818e-12
1186.163696,3.0096999111689504e-12
1186.747803,2.9994999539706413e-12
1187.331909,2.9915000598207397e-12
1187.915894,2.9829999147884534e-12
1188.5,2.975199947519158e-12
1189.084106,2.9720000332272845e-12
1189.668091,2.956400098688694e-12
1190.252197,2.946799922132204e-12
1190.836182,2.9258999736936353e-12
1191.420288,2.9353000065290846e-12
1192.004395,2.9268000783372328e-12
1192.588379,2.9105999294759544e-12
1193.172485,2.886099996143865e-12
1193.756592,2.86710000359236e-12
1194.340576,2.844099955545687e-12
1194.924683,2.81660003480233e-12
1195.508667,2.7977000056911283e-12
1196.092773,2.77810001565737e-12
1196.67688,2.762899934879992e-12
1197.260864,2.746199968817198e-12
1197.844971,2.7100999396012515e-12
1198.428955,2.6785999633627267e-12
1199.013062,2.637500027408146e-12
1199.597046,2.5930999968809543e-12
1200.181152,2.554199907134347e-12
1200.765259,2.5414999965667207e-12
1201.349243,2.539600040679657e-12
1201.93335,2.518200058199138e-12
1202.517334,2.4690000478139185e-12
1203.10144,2.4281000387399443e-12
1203.685425,2.387100066225667e-12
1204.269531,2.3416999676145744e-12
1204.853516,2.2910000719439383e-12
1205.437622,2.2325999556038756e-12
1206.021606,2.1832000183380496e-12
1206.605713,2.1406999436979213e-12
1207.189697,2.0824000076385962e-12
1207.773804,2.0118000147728576e-12
1208.357788,1.9337999083990365e-12
1208.941895,1.8617999936881846e-12
1209.525879,1.7808000083233133e-12
1210.109985,1.6998999863987452e-12
1210.69397,1.5990999756992919e-12
1211.278076,1.5079000331361114e-12
1211.862061,1.4104000085890522e-12
1212.446167,1.3158999714532604e-12
1213.030151,1.2161000288377077e-12
1213.614136,1.109499970196326e-12
1214.198242,1.0005000300461475e-12
1214.782227,9.021200128057905e-13
1215.366333,8.199199782663036e-13
1215.950317,8.14300016305225e-13
1216.534424,8.961799943633941e-13
1217.118408,9.874000488768742e-13
1217.702393,1.0792999523626112e-12
1218.286499,1.1802999983628881e-12
1218.870483,1.2749999623792863e-12
1219.45459,1.3626999919094662e-12
1220.038574,1.4508999470613793e-12
1220.622559,1.5373999816270523e-12
1221.206665,1.623000019969345e-12
1221.790649,1.698199957392288e-12
1222.374756,1.7690999489991532e-12
1222.95874,1.8295000930868e-12
1223.542725,1.8980999497847373e-12
1224.126831,1.9539998959150484e-12
1224.710815,2.013299900058274e-12
1225.2948,2.070699948314436e-12
1225.878906,2.12359990703348e-12
1226.462891,2.1772000435155148e-12
1227.046875,2.2151000651782216e-12
1227.630981,2.2656000339682514e-12
1228.214966,2.2935000253132554e-12
1228.79895,2.3372000949178906e-12
1229.383057,2.357699972754812e-12
1229.967041,2.383100010730499e-12
1230.551025,2.3950999603755685e-12
1231.135132,2.42260009795936e-12
1231.719116,2.4601000490204195e-12
1232.303101,2.4845000189122057e-12
1232.887085,2.5009000946540905e-12
1233.471191,2.512499973697513e-12
1234.055176,2.5236000355394195e-12
1234.63916,2.5253000645458767e-12
1235.223145,2.535199914582842e-12
1235.807251,2.539600040679657e-12
1236.391235,2.5495001075570567e-12
1236.97522,2.5576999285875646e-12
1237.559204,2.5603000622376193e-12
1238.143311,2.5752999992939563e-12
1238.727295,2.567900102626308e-12
1239.311279,2.5769000648601104e-12
1239.895264,2.5830999665632515e-12
1240.47937,2.5947000624471084e-12
1241.063354,2.5935000674826014e-12
1241.647339,2.5972999792567286e-12
1242.231323,2.5924000359583976e-12
1242.815308,2.598699901101842e-12
1243.399414,2.60190003223415e-12
1243.983398,2.602799920037313e-12
1244.567383,2.5972999792567286e-12
1245.151367,2.594100064964855e-12
1245.735352,2.6012000713115935e-12
1246.319458,2.5979999401792853e-12
1246.903442,2.6037000246809106e-12
1247.487427,2.6004998935486023e-12
1248.071411,2.6072000461341283e-12
1248.655396,2.6080999339372912e-12
1249.23938,2.60269995659701e-12
1249.823364,2.60399991500182e-12
1250.407471,2.5936000309229046e-12
1250.991455,2.596500054893869e-12
1251.575439,2.6020999591147564e-12
1252.159424,2.5988000813825796e-12
1252.743408,2.601499961632503e-12
1253.327393,2.600700037269643e-12
1253.911377,2.591300004434194e-12
1254.495361,2.5853999930519622e-12
